,AtomicNumber,Element,Symbol,AtomicMass,Neutrons,Protons,Electrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,Isotopes,Discoverer,Year,SpecificHeat,Shells,Valence,Config,MassNumber
105,106.0,Seaborgium,Sg,266.0,160.0,106.0,106.0,7.0,6.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,35,Unknown,Unknown,,Ghiorso et al.,1974,Unknown,7.0,0.0,[Rn] 5f14 6d4 7s2,266.0
106,107.0,Bohrium,Bh,264.0,157.0,107.0,107.0,7.0,7.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,37,Unknown,Unknown,,Armbruster and M�nzenberg,1981,Unknown,7.0,0.0,[Rn] 5f14 6d5 7s2,264.0
107,108.0,Hassium,Hs,267.0,159.0,108.0,108.0,7.0,8.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,41,Unknown,Unknown,,Armbruster and M�nzenberg,1983,Unknown,7.0,0.0,[Rn] 5f14 6d6 7s2,267.0
108,109.0,Meitnerium,Mt,268.0,159.0,109.0,109.0,7.0,9.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,35,Unknown,Unknown,,"GSI, Darmstadt, West Germany",1982,Unknown,7.0,0.0,[Rn] 5f14 6d7 7s2,268.0
109,110.0,Darmstadtium ,Ds,271.0,161.0,110.0,110.0,7.0,10.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,1994,Unknown,7.0,0.0,[Rn] 5f14 6d9 7s1,271.0
110,111.0,Roentgenium ,Rg,272.0,161.0,111.0,111.0,7.0,11.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,1994,Unknown,7.0,0.0,[Rn] 5f14 6d10 7s1,272.0
111,112.0,Copernicium ,Cn,285.0,173.0,112.0,112.0,7.0,12.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,1996,Unknown,7.0,0.0,[Rn] 5f14 6d10 7s2,285.0
112,113.0,Nihonium,Nh,284.0,171.0,113.0,113.0,7.0,13.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,2004,Unknown,7.0,3.0,[Rn] 5f14 6d10 7s2 7p1,284.0
113,114.0,Flerovium,Fl,289.0,175.0,114.0,114.0,7.0,14.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,1999,Unknown,7.0,4.0,[Rn] 5f14 6d10 7s2 7p2,289.0
114,115.0,Moscovium,Mc,288.0,173.0,115.0,115.0,7.0,15.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,2010,Unknown,7.0,5.0,[Rn] 5f14 6d10 7s2 7p3,288.0
115,116.0,Livermorium,Lv,292.0,176.0,116.0,116.0,7.0,16.0,artificial,True,False,True,False,False,Transactinide,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,2000,Unknown,7.0,6.0,[Rn] 5f14 6d10 7s2 7p4,292.0
116,117.0,Tennessine,Ts,295.0,178.0,117.0,117.0,7.0,17.0,artificial,True,False,False,True,False,Transactinide,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,2010,Unknown,7.0,7.0,[Rn] 5f14 6d10 7s2 7p5,295.0
117,118.0,Oganesson,Og,294.0,176.0,118.0,118.0,7.0,18.0,artificial,True,False,False,True,False,Noble Gas,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,2006,Unknown,7.0,8.0,[Rn] 5f14 6d10 7s2 7p6,294.0
